0x680, Time,74, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0
0x251, Time,3674, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3694, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3714, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3844, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3854, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3874, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3894, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3914, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3934, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3954, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3974, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3994, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4014, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4034, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4054, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4074, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4207, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4214, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4234, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4254, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4274, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4294, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4314, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4334, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4354, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4374, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4394, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4414, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4434, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4554, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4574, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4594, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4614, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4634, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4654, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4674, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4694, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4714, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4734, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4754, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4774, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4903, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4914, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4934, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4954, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4974, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,4994, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5014, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5034, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5054, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5074, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5094, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5114, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5243, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5254, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5274, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5294, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5314, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5334, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5354, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5374, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5394, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5414, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5434, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5454, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5474, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5614, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5634, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5654, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5674, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5694, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5714, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5734, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5754, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5774, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5794, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5814, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5940, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5954, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5974, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,5994, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6014, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6034, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6054, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6074, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6094, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6114, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6134, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6154, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6174, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6294, Controller Temp,360, Motor Temp,389, Fault Code,2
